# IPTV 直播源汇总
# 更新时间: 2026-02-26 09:03:57（北京时间）
# 有效源总数: 1659

更新时间,#genre#
2026-02-26 09:03:57,http://logo.mp4

央视频道,#genre#
辽宁卫视,http://171.113.174.156:8686/rtp/239.69.1.71:10066$湖北电信(248ms)
辽宁卫视,http://27.17.212.242:8888/rtp/239.69.1.71:10066$湖北电信(253ms)
辽宁卫视,http://123.112.240.132:5555/rtp/239.3.1.210:8056$北京市联通(242ms)
黑龙江卫视,http://144.0.57.58:7004/rtp/239.21.1.28:5002$山东电信(258ms)
黑龙江卫视,http://171.113.174.156:8686/rtp/239.254.96.138:8902$湖北电信(248ms)
黑龙江卫视,http://27.17.212.242:8888/rtp/239.254.96.138:8902$湖北电信(253ms)
黑龙江卫视,http://123.112.240.132:5555/rtp/239.3.1.133:8016$北京市联通(242ms)
吉林卫视,http://144.0.57.58:7004/rtp/239.21.2.49:5002$山东电信(258ms)
吉林卫视,http://171.113.174.156:8686/rtp/239.69.1.212:10914$湖北电信(248ms)
吉林卫视,http://27.17.212.242:8888/rtp/239.69.1.212:10914$湖北电信(253ms)
吉林卫视,http://123.112.240.132:5555/rtp/239.3.1.240:8172$北京市联通(242ms)
内蒙古卫视,http://14.118.74.55:10001/rtp/239.77.0.70:5146$广东电信(246ms)
内蒙古卫视,http://14.118.74.55:10001/rtp/239.77.1.55:5146$广东电信(246ms)
内蒙古卫视,http://220.174.47.27:8888/rtp/239.253.64.144:5140$海南电信(261ms)
内蒙古卫视,http://116.233.63.10:5555/rtp/233.18.204.217:5140$上海市电信(259ms)
宁夏卫视,http://60.186.33.137:4022/rtp/233.50.202.45:5140$浙江电信(254ms)
宁夏卫视,http://14.118.74.55:10001/rtp/239.77.0.49:5146$广东电信(246ms)
宁夏卫视,http://14.118.74.55:10001/rtp/239.77.1.28:5146$广东电信(246ms)
宁夏卫视,http://14.118.74.55:10001/rtp/239.77.1.246:5146$广东电信(246ms)
山西卫视,http://14.118.74.55:10001/rtp/239.77.0.69:5146$广东电信(246ms)
山西卫视,http://14.118.74.55:10001/rtp/239.77.1.74:5146$广东电信(246ms)
山西卫视,http://220.174.47.27:8888/rtp/239.253.64.31:5140$海南电信(261ms)
山西卫视,http://116.233.63.10:5555/rtp/239.45.3.205:5140$上海市电信(259ms)
陕西卫视,http://171.8.169.205:8800/rtp/239.16.20.83:10830$河南电信(267ms)
陕西卫视,http://14.118.74.55:10001/rtp/239.77.0.68:5146$广东电信(246ms)
陕西卫视,http://14.118.74.55:10001/rtp/239.77.1.54:5146$广东电信(246ms)
陕西卫视,http://220.174.47.27:8888/rtp/239.253.64.37:5140$海南电信(261ms)
甘肃卫视,http://144.0.57.58:7004/rtp/239.21.2.22:5002$山东电信(258ms)
甘肃卫视,http://144.0.57.58:7002/rtp/239.21.2.22:5002$山东电信(274ms)
甘肃卫视,http://60.186.33.137:4022/rtp/233.50.200.163:5140$浙江电信(254ms)
甘肃卫视,http://171.8.169.205:8800/rtp/239.16.20.102:11020$河南电信(267ms)
青海卫视,http://144.0.57.58:7004/rtp/239.21.2.51:5002$山东电信(258ms)
青海卫视,http://144.0.57.58:7002/rtp/239.21.2.51:5002$山东电信(274ms)
青海卫视,http://171.8.169.205:8800/rtp/239.16.20.101:11010$河南电信(267ms)
青海卫视,http://14.118.74.55:10001/rtp/239.253.43.125:5146$广东电信(246ms)
新疆卫视,http://60.186.33.137:4022/rtp/233.50.202.46:5140$浙江电信(254ms)
新疆卫视,http://14.118.74.55:10001/rtp/239.77.0.47:5146$广东电信(246ms)
新疆卫视,http://14.118.74.55:10001/rtp/239.77.1.25:5146$广东电信(246ms)
新疆卫视,http://14.118.74.55:10001/rtp/239.253.43.202:5146$广东电信(246ms)
西藏卫视,http://123.112.240.132:5555/rtp/239.3.1.166:8188$北京市联通(242ms)
西藏卫视,http://114.254.76.186:4022/rtp/239.3.1.166:8188$北京市联通(240ms)
西藏卫视,http://111.196.132.166:20000/rtp/239.3.1.166:8188$北京市联通(239ms)
西藏卫视,http://114.245.176.99:4022/rtp/239.3.1.166:8188$北京市联通(235ms)
三沙卫视,http://49.71.69.165:4000/rtp/239.49.0.167:8000$江苏电信(252ms)
三沙卫视,http://60.186.33.137:4022/rtp/233.50.200.175:5140$浙江电信(254ms)
三沙卫视,http://49.74.72.204:8888/rtp/239.49.0.167:8000$江苏电信(237ms)
三沙卫视,http://115.171.216.84:4000/rtp/225.1.8.78:4120$北京市电信(273ms)
兵团卫视,http://60.186.33.137:4022/rtp/233.50.202.44:5140$浙江电信(254ms)
兵团卫视,http://14.118.74.55:10001/rtp/239.77.0.48:5146$广东电信(246ms)
兵团卫视,http://14.118.74.55:10001/rtp/239.77.1.29:5146$广东电信(246ms)
兵团卫视,http://14.118.74.55:10001/rtp/239.77.0.77:5146$广东电信(246ms)
延边卫视,http://14.118.74.55:10001/rtp/239.77.0.10:5146$广东电信(246ms)
延边卫视,http://14.118.74.55:10001/rtp/239.77.1.99:5146$广东电信(246ms)
山东教育卫视,http://123.112.240.132:5555/rtp/239.3.1.52:4120$北京市联通(242ms)
山东教育卫视,http://114.254.76.186:4022/rtp/239.3.1.52:4120$北京市联通(240ms)
山东教育卫视,http://111.196.132.166:20000/rtp/239.3.1.52:4120$北京市联通(239ms)
山东教育卫视,http://49.71.69.165:4000/rtp/239.49.0.235:8000$江苏电信(252ms)
中国教育1台,http://144.0.57.58:7004/rtp/239.21.2.7:5002$山东电信(258ms)
中国教育1台,http://171.113.174.156:8686/rtp/239.69.1.110:10298$湖北电信(248ms)
